Timestamp,Team Number,Match Number,Crosses the auto line (auto-run),Switch capabilities,Scale capabilities,Number of cubes in auton,Number of Cubes on Own Switch,Number of Cubes on Scale,Number of Cubes in Exchange,Climb,Played Good Defense,Extra Notes,Number of Cubes on Opponent's Switch
3/16/2018 16:42,3547,31,Yes,Same side,No,1,0,0,7,No,No,,0
3/16/2018 18:12,3547,41,Yes,No,No,0,1,1,4,No,No,,0
3/16/2018 20:07,3547,57,Yes,No,No,0,0,3,3,No,No,,0
3/16/2018 11:44,3547,5,Yes,No,No,0,1,4,0,Parked,Yes,Reliable grabber and lift ,0
3/16/2018 12:55,3547,13,Yes,Same side,No,1,0,4,0,Parked,No,,0
3/17/2018 10:42,3547,71,Yes,Same side,No,1,0,4,0,No,Yes,,0
3/17/2018 9:26,3547,60,Yes,No,No,1,1,3,0,Climbed but not 12 in,Yes,,0
3/16/2018 14:19,3547,16,Yes,Same side,No,1,1,2,0,No,No,Slow,0
3/16/2018 15:26,3604,23,No,From center,No,1,0,3,1,Yes,No,,3
3/16/2018 19:16,3604,50,Yes,No,Yes,1,0,4,0,Yes,Yes,Good job to them,0
3/16/2018 11:28,3604,3,Yes,Same side,Yes,1,0,1,0,Yes,Yes,,6
3/16/2018 12:33,3604,10,Yes,Same side,Yes,0,0,0,0,Yes,Yes,Played defense whole time ,0
3/16/2018 18:43,3604,45,Yes,Same side,No,1,0,6,0,Yes,No,,0
3/16/2018 14:42,3604,18,No,From center,No,1,0,4,0,Yes,Yes,Great match,0
3/16/2018 19:37,3604,53,Yes,No,No,0,0,4,0,Yes,Yes,,0
3/16/2018 16:49,3604,32,Yes,Same side,No,1,0,3,0,Yes,No,,0
3/16/2018 17:25,3604,36,Yes,Same side,No,1,0,2,0,Yes,No,,0
3/17/2018 10:09,3604,66,Yes,Same side,No,1,3,1,0,Yes,No,,4
3/17/2018 9:28,3604,60,Yes,From center,No,1,4,0,0,Yes,No,Focused on our teams switch,2
3/16/2018 15:09,3641,21,Yes,No,Yes,1,0,4,2,Yes,Yes,Got focused,3
3/16/2018 17:50,3641,39,Yes,Same side,No,1,0,3,2,No,No,,0
3/16/2018 11:07,3641,1,Yes,From center,Yes,1,2,7,0,Parked,Yes,Quick bot,0
3/16/2018 16:19,3641,29,Yes,Same side,Yes,1,2,7,0,Parked,Yes,"SUPER FAST, but a little unstable",0
3/16/2018 12:06,3641,7,Yes,No,Yes,1,0,5,0,Parked,Yes,Quickly got cubes to scale,2
3/16/2018 18:44,3641,45,Yes,No,Yes,1,0,3,0,Parked,No,Cube placing knowcked off a cube and placed+dropped twice ,0
3/17/2018 9:39,3641,62,Yes,No,Yes,2,2,2,0,No,Yes,,5
3/16/2018 20:22,3641,59,Yes,From center,No,1,0,8,0,Parked,No,,0
3/16/2018 19:22,3641,51,Yes,Same side,No,1,1,7,0,Parked,Yes,Righted itself,0
3/17/2018 10:42,3641,71,Yes,No,No,0,0,3,0,Yes,Yes,,2
3/17/2018 10:23,3656,68,Yes,No,Yes,1,0,0,9,Yes,No,Side climb op,0
3/16/2018 12:05,3656,7,Yes,Same side,No,1,1,0,7,Yes,No,,0
3/16/2018 17:42,3656,37,Yes,From center,Unknown,1,2,2,5,Yes,No,Climber is awesome.  Very robust.  Climbs to side.,0
3/16/2018 18:19,3656,42,Yes,No,No,0,1,2,1,Yes,No,Non-monopolizing climb,0
3/17/2018 10:50,3656,72,Yes,From center,No,1,0,1,1,Yes,No,,4
3/16/2018 12:40,3656,11,Yes,Same side,Yes,1,0,4,0,Yes,No,,0
3/16/2018 19:03,3656,48,Yes,Same side,Yes,1,1,2,0,Yes,,,0
3/16/2018 13:05,3656,14,No,No,No,0,0,8,0,Yes,Yes,"Side climber, was blocked in auton",0
3/17/2018 10:02,3656,65,Yes,Same side,No,1,1,4,0,Yes,No,"Accomadating climb, got focused",0
3/16/2018 20:15,3656,58,No,From center,No,1,1,2,0,Yes,Yes,,1
3/16/2018 16:32,3656,30,No,No,No,0,0,0,0,Yes,Yes,Played defense whole game,0
